captureDate,year,latitude,longitude,cu,riverDist,lakeLatitude,captureFL,age,otolithLength,otolithWidth,entryCheckRadius,totalRadius,incrementCount,oceanEntryDate,entryFL,meanGrowth
165,2014,50.28778333,-125.355,Lillooet-Harrison-L,185.5,49.9,124,2,2300.56,1525.04,689.46,750.25,31.33333333,134,111.9127332,0.385763833
165,2014,50.28778333,-125.355,Chilko-S/Chilko-ES,661,51.26667,125,1,2042.66,1423.43,614.99,685.54,27.66666667,137,108.8432302,0.583979632
165,2014,50.28778333,-125.355,Lillooet-Harrison-L,185.5,49.9,122,1,2251.34,1602.58,709.78,794.12,32.66666667,132,106.8220066,0.46463245
165,2014,50.28778333,-125.355,Nadina-Francois-ES,1076,53.95833,122,1,1871.54,1380.31,653.9,703.18,17.33333333,148,111.4413278,0.609154165
165,2014,50.28778333,-125.355,Chilliwack-ES,152.07,49.05,108,1,1909.22,1374.93,584.46,674.32,36,129,90.31342256,0.491293818
165,2014,50.28778333,-125.355,Nadina-Francois-ES,1076,53.95833,128,1,2042.17,1501.29,693.83,775.98,29,136,111.8322921,0.55750717
165,2014,50.31275,-125.4076,Chilko-S/Chilko-ES,661,51.26667,129,1,1912.16,1405.93,592.29,694.74,32.66666667,132,105.1239962,0.730898074
165,2014,50.31275,-125.4076,Chilko-S/Chilko-ES,661,51.26667,128,1,2107.69,1400.41,621.3,700.53,31.66666667,133,109.9276859,0.570704655
165,2014,50.31275,-125.4076,Chilliwack-ES,152.07,49.05,142,1,2045.23,1602.38,637.17,757.71,42,123,114.2878832,0.659812304
165,2014,50.31275,-125.4076,Lillooet-Harrison-L,185.5,49.9,121,1,2182.08,1547.9,707.93,790.67,29.66666667,135,106.1654991,0.500039355
165,2014,50.31275,-125.4076,Chilliwack-ES,152.07,49.05,119,1,1929.97,1401.91,616.14,726.45,41,124,97.12535838,0.533527844
165,2014,50.31275,-125.4076,Chilko-S/Chilko-ES,661,51.26667,110,1,1912.49,1409.66,635.8,704.81,37.66666667,127,96.99387565,0.345295337
165,2014,50.31275,-125.4076,Chilko-S/Chilko-ES,661,51.26667,129,1,2119.36,1439.7,655.81,710.05,17.66666667,147,116.7591621,0.692877619
165,2014,50.31275,-125.4076,Chilko-S/Chilko-ES,661,51.26667,114,1,1965.67,1304.72,562.96,645.11,35,130,95.52796163,0.527772525
165,2014,50.31275,-125.4076,Nadina-Francois-ES,1076,53.95833,134,1,2203.23,1518.3,686.27,767.33,32,133,116.8934395,0.534580016
165,2014,50.31275,-125.4076,Nadina-Francois-ES,1076,53.95833,125,2,1942.71,1419.8,582.67,655.51,33,132,107.1524956,0.540833466
165,2014,50.31275,-125.4076,Nadina-Francois-ES,1076,53.95833,121,1,1974.14,1339.68,577.21,654.98,31.66666667,133,102.6461495,0.57959528
165,2014,50.34681667,-125.4015167,Chilko-S/Chilko-ES,661,51.26667,128,1,2132.64,1504.37,658.53,749.48,32.66666667,132,109.1942615,0.575685873
165,2014,50.34681667,-125.4015167,Nadina-Francois-ES,1076,53.95833,135,1,1982.38,1536.07,674.04,735.41,28,137,121.1167256,0.495831228
165,2014,50.34681667,-125.4015167,Nadina-Francois-ES,1076,53.95833,115,1,1952.29,1390.96,665.35,713.57,26.66666667,138,105.5808955,0.35321642
165,2014,50.34681667,-125.4015167,Nadina-Francois-ES,1076,53.95833,130,1,1833,1356.56,654.4,722.31,34,131,114.9158824,0.443650517
165,2014,50.3954,-125.3416,Nadina-Francois-ES,1076,53.95833,141,1,1958.11,1562.35,679.33,755.29,26.66666667,138,123.6004829,0.652481891
165,2014,50.3954,-125.3416,Nadina-Francois-ES,1076,53.95833,126,1,1898.2,1427.89,609.5,660.98,19.66666667,145,113.4264674,0.639332165
165,2014,50.3954,-125.3416,Chilko-S/Chilko-ES,661,51.26667,154,2,2623.38,1666.61,778.27,836.96,32.66666667,132,141.1046458,0.394755741
165,2014,50.39345,-125.326,Nadina-Francois-ES,1076,53.95833,132,1,1899.7,1415.4,607.58,684.28,26,139,113.2149603,0.722501527
165,2014,50.39345,-125.326,Chilliwack-ES,152.07,49.05,125,1,NA,1455.95,590.88,700.41,38.66666667,126,100.7025838,0.628381452
165,2014,50.39345,-125.326,Nadina-Francois-ES,1076,53.95833,135,1,2021.93,1518.61,668.31,754.86,34,131,116.1405249,0.554690444
165,2014,50.39345,-125.326,Chilko-S/Chilko-ES,661,51.26667,125,1,1989.47,1389.44,558.58,665.92,32.33333333,133,99.32155483,0.794178717
165,2014,50.36575,-125.6657,Lillooet-Harrison-L,185.5,49.9,140,2,2322.87,1551.4,627.28,741.32,47.33333333,118,113.3909617,0.56216278
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,131,1,1950.29,1534.46,654.28,732.64,30.66666667,134,113.7949503,0.561034231
165,2014,50.36575,-125.6657,Chilko-S/Chilko-ES,661,51.26667,143,1,2098.86,1469.93,577.86,702.2,48,117,110.8209542,0.670396787
165,2014,50.36575,-125.6657,Nadina-Francois-ES,1076,53.95833,133,1,2003.33,1457.63,672.3,729.83,22,143,120.0696521,0.587743088
165,2014,50.36575,-125.6657,Nadina-Francois-ES,1076,53.95833,128,1,1903.03,1430.67,636.33,707.52,30,135,111.9973301,0.533422329
165,2014,50.36575,-125.6657,Nadina-Francois-ES,1076,53.95833,132,1,2024.19,1353.02,620.48,657.37,19.66666667,145,122.4014336,0.4880627
165,2014,50.36575,-125.6657,Lillooet-Harrison-L,185.5,49.9,150,1,2364.83,1584.3,629.39,754.28,43.33333333,122,119.210128,0.710535509
